iter	Passed	Remaining
959	4192	61320
960	4196	61309
961	4200	61296
962	4204	61286
963	4209	61295
964	4213	61285
965	4217	61274
966	4223	61284
967	4227	61287
968	4231	61275
969	4236	61269
970	4242	61294
971	4246	61289
972	4250	61280
973	4255	61281
974	4260	61289
975	4264	61279
976	4268	61266
977	4273	61275
978	4278	61271
979	4282	61262
980	4286	61251
981	4292	61269
982	4296	61266
983	4300	61255
984	4308	61305
985	4314	61324
986	4318	61310
987	4322	61300
988	4327	61299
989	4330	61287
990	4334	61273
991	4340	61293
992	4344	61282
993	4348	61269
994	4351	61255
995	4357	61273
996	4362	61267
997	4366	61255
998	4370	61257
999	4376	61264
1000	4379	61252
1001	4383	61239
1002	4388	61239
1003	4393	61246
1004	4397	61233
1005	4400	61218
1006	4407	61239
1007	4411	61236
1008	4415	61223
1009	4419	61220
1010	4424	61223
1011	4428	61212
1012	4432	61199
1013	4437	61203
1014	4441	61197
1015	4445	61185
1016	4449	61172
1017	4454	61176
1018	4459	61180
1019	4462	61168
1020	4466	61155
1021	4473	61177
1022	4477	61172
1023	4481	61159
1024	4485	61155
1025	4491	61171
1026	4495	61160
1027	4498	61147
1028	4504	61159
1029	4508	61150
1030	4512	61137
1031	4516	61126
1032	4522	61143
1033	4525	61131
1034	4529	61118
1035	4534	61121
1036	4540	61132
1037	4544	61123
1038	4547	61111
1039	4554	61133
1040	4558	61128
1041	4562	61118
1042	4567	61121
1043	4573	61139
1044	4577	61129
1045	4581	61119
1046	4588	61146
1047	4592	61138
1048	4596	61126
1049	4600	61116
1050	4604	61104
1051	4607	61092
1052	4611	61078
1053	4615	61067
1054	4618	61053
1055	4622	61040
1056	4626	61027
1057	4630	61014
1058	4634	61005
1059	4637	60992
1060	4641	60979
1061	4645	60973
1062	4649	60960
1063	4653	60949
1064	4657	60936
1065	4660	60923
1066	4664	60911
1067	4668	60898
1068	4672	60885
1069	4675	60873
1070	4679	60860
1071	4683	60848
1072	4687	60836
1073	4690	60823
1074	4694	60811
1075	4698	60800
1076	4702	60788
1077	4705	60775
1078	4709	60763
1079	4713	60750
1080	4717	60737
1081	4720	60725
1082	4724	60715
1083	4728	60703
1084	4732	60695
1085	4736	60682
1086	4740	60670
1087	4743	60658
1088	4747	60646
1089	4751	60634
1090	4755	60620
1091	4758	60609
1092	4762	60598
1093	4766	60586
1094	4770	60575
1095	4774	60564
1096	4777	60553
1097	4782	60548
1098	4786	60538
1099	4789	60527
1100	4793	60516
1101	4797	60505
1102	4801	60498
1103	4805	60487
1104	4809	60476
1105	4813	60467
1106	4817	60456
1107	4820	60444
1108	4824	60434
1109	4829	60427
1110	4832	60417
1111	4836	60406
1112	4840	60395
1113	4844	60384
1114	4849	60387
1115	4853	60382
1116	4857	60372
1117	4861	60360
1118	4865	60350
1119	4868	60340
1120	4872	60330
1121	4876	60319
1122	4880	60313
1123	4884	60303
1124	4888	60291
1125	4892	60279
1126	4897	60285
1127	4902	60296
1128	4906	60285
1129	4910	60273
1130	4916	60284
1131	4920	60281
1132	4924	60270
1133	4930	60283
1134	4935	60294
1135	4940	60296
1136	4952	60387
1137	4966	60492
1138	4976	60557
1139	4994	60717
1140	5004	60788
1141	5017	60892
1142	5030	60983
1143	5042	61076
1144	5049	61105
1145	5060	61179
1146	5067	61205
1147	5075	61245
1148	5080	61246
1149	5085	61252
1150	5090	61253
1151	5094	61244
1152	5098	61229
1153	5103	61230
1154	5107	61226
1155	5111	61208
1156	5114	61191
1157	5118	61177
1158	5121	61159
1159	5124	61139
1160	5127	61118
1161	5130	61097
1162	5133	61076
1163	5136	61057
1164	5141	61053
1165	5144	61034
1166	5147	61020
1167	5152	61015
1168	5155	61000
1169	5159	60982
1170	5162	60971
1171	5166	60952
1172	5170	60946
1173	5173	60930
1174	5177	60913
1175	5180	60896
1176	5184	60889
1177	5189	60888
1178	5192	60871
1179	5195	60854
1180	5199	60837
1181	5204	60841
1182	5207	60826
1183	5211	60810
1184	5214	60794
1185	5220	60807
1186	5224	60792
1187	5227	60777
1188	5231	60762
1189	5235	60762
1190	5239	60748
1191	5242	60733
1192	5246	60719
1193	5252	60730
1194	5255	60717
1195	5259	60703
1196	5262	60687
1197	5269	60706
1198	5273	60696
1199	5276	60682
1200	5280	60669
1201	5284	60667
1202	5288	60658
1203	5292	60644
1204	5296	60631
1205	5301	60640
1206	5305	60627
1207	5309	60615
1208	5312	60602
1209	5317	60606
1210	5321	60594
1211	5325	60581
1212	5329	60569
1213	5334	60575
1214	5338	60566
1215	5342	60555
1216	5345	60543
1217	5352	60559
1218	5355	60549
1219	5359	60537
1220	5363	60524
1221	5369	60542
1222	5373	60531
1223	5377	60519
1224	5381	60514
1225	5386	60516
1226	5390	60505
1227	5393	60493
1228	5398	60493
1229	5403	60491
1230	5407	60480
1231	5410	60468
1232	5416	60479
1233	5420	60471
1234	5424	60463
1235	5428	60452
1236	5434	60469
1237	5438	60458
1238	5442	60446
1239	5446	60435
1240	5451	60440
1241	5455	60429
